,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,module_presentation_length,days_studied,activities_engaged,total_clicks,assessments_completed,average_assessment_score
15,AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-95.0,268.0,268,46.0,205.0,1053.0,0.8333333333333334,55.6
16,AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,-50.0,268.0,268,14.0,72.0,116.0,0.6666666666666666,48.5
17,AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107.0,268.0,268,122.0,754.0,2992.0,0.8333333333333334,66.0
18,AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-27.0,268.0,268,86.0,271.0,680.0,0.8333333333333334,70.4
19,AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-31.0,268.0,268,125.0,496.0,1494.0,0.8333333333333334,70.8
20,AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-170.0,72.0,268,24.0,102.0,339.0,0.16666666666666666,74.0
21,AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-107.0,268.0,268,91.0,386.0,2839.0,0.8333333333333334,60.6
22,AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-62.0,268.0,268,52.0,243.0,744.0,0.8333333333333334,68.4
24,AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-107.0,268.0,268,177.0,781.0,1944.0,0.8333333333333334,78.0
25,AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-100.0,268.0,268,58.0,313.0,1150.0,0.8333333333333334,76.6
26,AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,5.0,175.0,268,33.0,145.0,465.0,0.5,60.0
27,AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-107.0,268.0,268,47.0,221.0,733.0,0.8333333333333334,53.4
28,AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-110.0,268.0,268,70.0,343.0,998.0,0.8333333333333334,63.4
29,AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-43.0,268.0,268,136.0,589.0,2343.0,0.5,81.0
30,AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-26.0,268.0,268,195.0,1001.0,3553.0,0.8333333333333334,77.6
31,AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,-68.0,268.0,268,120.0,510.0,1358.0,0.8333333333333334,72.8
32,AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,-68.0,268.0,268,108.0,514.0,1886.0,0.8333333333333334,62.4
33,AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-32.0,268.0,268,98.0,311.0,1108.0,0.8333333333333334,74.2
34,AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,-99.0,268.0,268,27.0,111.0,284.0,0.8333333333333334,61.8
35,AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-82.0,268.0,268,127.0,600.0,2041.0,0.8333333333333334,71.4
36,AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,-31.0,268.0,268,89.0,440.0,1321.0,0.8333333333333334,69.6
37,AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-197.0,135.0,268,83.0,303.0,1011.0,0.5,81.0
38,AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,-75.0,268.0,268,32.0,152.0,520.0,0.8333333333333334,67.4
39,AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-96.0,268.0,268,138.0,569.0,2732.0,0.8333333333333334,84.4
40,AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,-29.0,30.0,268,10.0,25.0,57.0,0.0,0.0
41,AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,-32.0,144.0,268,24.0,109.0,287.0,0.3333333333333333,61.5
43,AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,-61.0,268.0,268,92.0,585.0,1823.0,0.8333333333333334,72.6
44,AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,-110.0,129.0,268,9.0,44.0,143.0,0.16666666666666666,45.0
45,AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-37.0,268.0,268,95.0,631.0,2121.0,0.8333333333333334,73.6
47,AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,-36.0,268.0,268,35.0,149.0,452.0,0.8333333333333334,54.4
48,AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,-132.0,268.0,268,32.0,192.0,597.0,0.8333333333333334,50.0
49,AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-92.0,268.0,268,74.0,228.0,611.0,0.6666666666666666,73.75
50,AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,-138.0,58.0,268,9.0,41.0,155.0,0.16666666666666666,52.0
51,AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-174.0,158.0,268,106.0,554.0,1864.0,0.5,72.0
52,AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,-44.0,268.0,268,20.0,89.0,270.0,0.8333333333333334,50.0
53,AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,-16.0,268.0,268,81.0,419.0,1529.0,0.8333333333333334,67.0
54,AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-54.0,268.0,268,202.0,963.0,4003.0,0.8333333333333334,79.8
55,AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-64.0,191.0,268,44.0,245.0,908.0,0.3333333333333333,80.0
56,AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-52.0,268.0,268,87.0,386.0,1405.0,0.8333333333333334,70.6
57,AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,-46.0,123.0,268,66.0,320.0,1185.0,0.3333333333333333,66.5
58,AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-64.0,268.0,268,51.0,239.0,466.0,0.8333333333333334,71.8
59,AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-117.0,268.0,268,99.0,515.0,1510.0,0.8333333333333334,69.4
60,AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-32.0,268.0,268,42.0,302.0,745.0,0.8333333333333334,66.4
62,AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,-92.0,268.0,268,97.0,437.0,2016.0,0.8333333333333334,78.2
63,AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,-57.0,268.0,268,17.0,50.0,138.0,0.8333333333333334,37.6
64,AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,-64.0,268.0,268,157.0,858.0,2012.0,0.8333333333333334,53.4
65,AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,-39.0,60.0,268,20.0,145.0,487.0,0.16666666666666666,76.0
66,AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-128.0,268.0,268,116.0,547.0,1975.0,0.8333333333333334,54.0
67,AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,-32.0,268.0,268,58.0,368.0,964.0,0.8333333333333334,49.0
68,AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,-74.0,268.0,268,147.0,477.0,1312.0,0.8333333333333334,59.8
69,AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,-12.0,268.0,268,15.0,99.0,427.0,0.16666666666666666,74.0
70,AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,-109.0,268.0,268,109.0,585.0,2136.0,0.8333333333333334,76.0
72,AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,-57.0,60.0,268,49.0,393.0,1434.0,0.16666666666666666,76.0
73,AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-180.0,268.0,268,84.0,442.0,1541.0,0.8333333333333334,79.4
74,AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-62.0,268.0,268,176.0,804.0,3219.0,0.8333333333333334,68.4
75,AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-45.0,185.0,268,58.0,352.0,1905.0,0.16666666666666666,50.0
76,AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-54.0,268.0,268,81.0,280.0,534.0,0.8333333333333334,54.4
77,AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-73.0,166.0,268,47.0,297.0,1418.0,0.5,66.66666666666667
78,AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-68.0,268.0,268,126.0,563.0,1665.0,0.8333333333333334,72.2
79,AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,-51.0,268.0,268,32.0,117.0,333.0,0.5,56.666666666666664
80,AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,-169.0,268.0,268,162.0,807.0,2953.0,0.8333333333333334,83.6
81,AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-31.0,268.0,268,37.0,136.0,227.0,0.8333333333333334,72.4
82,AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-108.0,268.0,268,38.0,166.0,445.0,0.8333333333333334,61.8
83,AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-165.0,268.0,268,50.0,163.0,614.0,0.8333333333333334,66.0
84,AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-58.0,268.0,268,123.0,349.0,1215.0,0.8333333333333334,78.0
85,AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,-29.0,268.0,268,86.0,435.0,1839.0,0.6666666666666666,67.75
86,AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,-79.0,109.0,268,21.0,71.0,190.0,0.16666666666666666,65.0
87,AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,2.0,268.0,268,41.0,210.0,732.0,0.8333333333333334,78.0
88,AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-151.0,268.0,268,162.0,743.0,1935.0,0.8333333333333334,79.2
89,AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,-45.0,268.0,268,26.0,107.0,321.0,0.8333333333333334,75.8
90,AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-47.0,268.0,268,44.0,191.0,427.0,0.8333333333333334,58.4
91,AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-50.0,268.0,268,135.0,573.0,1892.0,0.8333333333333334,78.8
92,AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,-31.0,268.0,268,117.0,627.0,1829.0,0.8333333333333334,58.6
93,AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-36.0,268.0,268,56.0,263.0,658.0,0.8333333333333334,77.4
94,AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-16.0,268.0,268,68.0,351.0,1174.0,0.8333333333333334,55.6
95,AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,-198.0,268.0,268,193.0,752.0,1969.0,0.8333333333333334,78.4
96,AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-103.0,268.0,268,166.0,815.0,2580.0,0.8333333333333334,71.4
97,AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,-117.0,268.0,268,139.0,518.0,1481.0,0.8333333333333334,76.8
98,AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-68.0,268.0,268,53.0,299.0,844.0,0.8333333333333334,58.8
100,AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,-186.0,170.0,268,43.0,134.0,426.0,0.3333333333333333,57.5
101,AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-145.0,268.0,268,69.0,345.0,1066.0,0.8333333333333334,71.0
102,AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-191.0,268.0,268,119.0,717.0,2407.0,0.8333333333333334,76.6
103,AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,-33.0,268.0,268,116.0,716.0,3210.0,0.8333333333333334,74.6
104,AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-17.0,187.0,268,18.0,55.0,188.0,0.3333333333333333,43.0
105,AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-68.0,268.0,268,128.0,639.0,3348.0,0.8333333333333334,76.4
106,AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-108.0,177.0,268,78.0,470.0,2016.0,0.5,67.66666666666667
107,AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-138.0,268.0,268,63.0,297.0,1183.0,0.8333333333333334,79.2
108,AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,-74.0,268.0,268,49.0,183.0,492.0,0.8333333333333334,73.4
109,AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-64.0,268.0,268,15.0,77.0,130.0,0.8333333333333334,55.4
110,AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,-50.0,268.0,268,8.0,28.0,59.0,0.0,0.0
111,AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107.0,268.0,268,87.0,478.0,1961.0,0.8333333333333334,60.6
112,AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-8.0,268.0,268,68.0,284.0,1046.0,0.8333333333333334,71.0
113,AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-52.0,268.0,268,47.0,144.0,483.0,0.8333333333333334,67.8
114,AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-96.0,268.0,268,108.0,496.0,1740.0,0.8333333333333334,70.4
115,AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-141.0,268.0,268,33.0,153.0,652.0,0.8333333333333334,75.0
117,AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-27.0,268.0,268,28.0,114.0,187.0,0.6666666666666666,46.75
118,AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-80.0,268.0,268,119.0,438.0,1775.0,0.8333333333333334,78.2
119,AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-145.0,268.0,268,94.0,256.0,865.0,0.8333333333333334,52.8
120,AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,-17.0,268.0,268,87.0,300.0,709.0,0.8333333333333334,50.2
121,AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,-115.0,268.0,268,124.0,511.0,2152.0,0.8333333333333334,86.8
122,AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,-32.0,268.0,268,58.0,201.0,514.0,0.8333333333333334,80.8
123,AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-59.0,268.0,268,108.0,580.0,1997.0,0.8333333333333334,78.8
124,AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-83.0,268.0,268,24.0,165.0,513.0,0.5,58.666666666666664
125,AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,-18.0,268.0,268,11.0,44.0,146.0,0.16666666666666666,64.0
126,AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,-66.0,268.0,268,85.0,368.0,1277.0,0.8333333333333334,78.0
127,AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,-107.0,268.0,268,81.0,322.0,987.0,0.8333333333333334,58.2
128,AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-58.0,268.0,268,110.0,378.0,1220.0,0.8333333333333334,82.0
129,AAA,2013J,306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-123.0,268.0,268,189.0,1112.0,2742.0,0.8333333333333334,62.6
130,AAA,2013J,307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,Pass,-31.0,268.0,268,87.0,401.0,1081.0,0.8333333333333334,81.2
131,AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-107.0,268.0,268,76.0,377.0,1476.0,0.6666666666666666,60.0
132,AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,-121.0,268.0,268,145.0,696.0,2230.0,0.8333333333333334,59.2
134,AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-59.0,268.0,268,46.0,106.0,281.0,0.8333333333333334,61.8
135,AAA,2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,-100.0,268.0,268,106.0,460.0,1281.0,0.8333333333333334,66.6
138,AAA,2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,-32.0,268.0,268,122.0,610.0,1901.0,0.8333333333333334,80.4
139,AAA,2013J,324084,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-165.0,268.0,268,110.0,494.0,1961.0,0.8333333333333334,57.6
140,AAA,2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-32.0,268.0,268,38.0,74.0,133.0,0.8333333333333334,61.2
141,AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,-67.0,53.0,268,45.0,527.0,2376.0,0.16666666666666666,84.0
142,AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-64.0,268.0,268,72.0,448.0,1655.0,0.8333333333333334,74.4
143,AAA,2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-103.0,268.0,268,31.0,136.0,301.0,0.8333333333333334,65.8
144,AAA,2013J,333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,-53.0,268.0,268,36.0,178.0,648.0,0.8333333333333334,74.4
145,AAA,2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,-32.0,268.0,268,27.0,122.0,332.0,0.3333333333333333,53.0
146,AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,-192.0,65.0,268,33.0,100.0,303.0,0.16666666666666666,36.0
147,AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-196.0,160.0,268,106.0,731.0,2286.0,0.5,86.33333333333333
148,AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-110.0,268.0,268,111.0,396.0,1316.0,0.8333333333333334,68.2
149,AAA,2013J,339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-57.0,268.0,268,33.0,125.0,333.0,0.8333333333333334,49.8
150,AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,48.0,268.0,268,35.0,113.0,201.0,0.8333333333333334,64.2
151,AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,-71.0,51.0,268,38.0,228.0,880.0,0.16666666666666666,75.0
152,AAA,2013J,342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,-81.0,268.0,268,98.0,447.0,1950.0,0.8333333333333334,77.2
153,AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-60.0,268.0,268,72.0,323.0,838.0,0.8333333333333334,60.4
155,AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-12.0,268.0,268,18.0,53.0,65.0,0.8333333333333334,49.2
156,AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,-37.0,268.0,268,51.0,213.0,547.0,0.8333333333333334,78.0
157,AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,-18.0,268.0,268,134.0,737.0,2219.0,0.8333333333333334,80.4
158,AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,-75.0,268.0,268,103.0,272.0,569.0,0.8333333333333334,82.4
159,AAA,2013J,346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail,-44.0,268.0,268,8.0,40.0,164.0,0.0,0.0
160,AAA,2013J,350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-49.0,268.0,268,78.0,316.0,761.0,0.8333333333333334,73.8
161,AAA,2013J,354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,-32.0,5.0,268,7.0,46.0,198.0,0.0,0.0
162,AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-38.0,268.0,268,27.0,88.0,166.0,0.5,57.0
163,AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-129.0,268.0,268,63.0,242.0,821.0,0.6666666666666666,69.0
164,AAA,2013J,365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,-38.0,268.0,268,78.0,403.0,891.0,0.8333333333333334,56.4
165,AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-52.0,268.0,268,148.0,755.0,2129.0,0.8333333333333334,70.0
166,AAA,2013J,366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,-4.0,268.0,268,129.0,488.0,1465.0,0.8333333333333334,76.8
167,AAA,2013J,368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,-123.0,268.0,268,32.0,169.0,437.0,0.8333333333333334,50.4
168,AAA,2013J,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,-60.0,268.0,268,25.0,124.0,292.0,0.8333333333333334,55.6
169,AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,-19.0,268.0,268,52.0,225.0,677.0,0.8333333333333334,66.4
170,AAA,2013J,376581,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-64.0,268.0,268,124.0,627.0,2333.0,0.8333333333333334,72.8
